time [s]	line [1]	track/ direction [1]	loc. (actual) [km]	loc. (target) [km]	way (actual) [km]	way (target) [km]	speed (actual) [km/h]	speed (target) [km/h]	voltage [V]	current [A]	track-earth voltage [V]	energy input [kWh]	energy balance [kWh]	usable braking energy [kWh]	used braking energy [kWh]	recuperated braking energy [kWh]	energy braking resistor [kWh]	state [1]	tractive effort (actual) [kN]	tractive effort (target) [kN]	line and running resistance [kN]	acceleration (actual) [m/(s*s)]	acceleration (target) [m/(s*s)]	desired speed [km/h]	train configuration [1]	utilization rate [%]	
3934.000000	      2.0000000	      2.0000000	      9.3400002	      9.3400002	      0.0000000	      0.0000000	      0.2000000	      0.2000000	    784.4578247	     34.5461540	     -1.7136502	      0.0150556	      0.0150556	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     15.0000000	      0.0000000	      0.0000000	      0.0000000	      0.0000000	      0.0000000	      0.0000000	      2.0000000	    100.0000000	
3936.000000	      2.0000000	      2.0000000	      9.3398886	      9.3400002	      0.0001111	      0.0000000	      0.2000000	      0.2000000	    784.6746826	     35.8520050	     -2.4142854	      0.0306845	      0.0306845	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     30.0000000	      1.1677024	      0.0000000	      1.1677024	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
3938.000000	      2.0000000	      2.0000000	      9.3397779	      9.3400002	      0.0002222	      0.0000000	      0.2000000	      0.2000000	    783.3473511	     35.9127731	     -2.5095398	      0.0463135	      0.0463135	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     30.0000000	      1.1677024	      0.0000000	      1.1677024	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
3940.000000	      2.0000000	      2.0000000	      9.3385553	      9.3400002	      0.0014444	      0.0000000	      4.1999998	      4.1999998	    777.9973145	     96.5140991	     -1.7257758	      0.0880289	      0.0880289	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     33.3615913	      0.0000000	      1.1677024	      0.5555556	      0.0000000	      4.1999998	      2.0000000	    100.0000000	
3942.000000	      2.0000000	      2.0000000	      9.3344440	      9.3400002	      0.0055556	      0.0000000	     10.6000004	     10.6000004	    772.4889526	    231.3268890	     -0.8050501	      0.1873053	      0.1873053	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     52.7180214	      0.0000000	      1.2077984	      0.8888889	      0.0000000	     10.6000004	      2.0000000	    100.0000000	
3944.000000	      2.0000000	      2.0000000	      9.3270273	      9.3310003	      0.0129722	      0.0090000	     16.1000004	     16.1000004	    768.5816040	    304.9824829	      0.4430843	      0.3175297	      0.3175297	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     45.5625114	      0.0000000	      1.2959136	      0.7638889	      0.0000000	     16.1000004	      2.0000000	    100.0000000	
3946.000000	      2.0000000	      2.0000000	      9.3173056	      9.3210001	      0.0226944	      0.0190000	     18.8999996	     18.8999996	    771.5676880	    213.4064636	      1.8614800	      0.4090061	      0.4090061	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     23.9309216	      0.0000000	      1.3951997	      0.3888889	      0.0000000	     18.8999996	      2.0000000	    100.0000000	
3948.000000	      2.0000000	      2.0000000	      9.3063889	      9.3090000	      0.0336111	      0.0310000	     20.3999996	     20.3999996	    772.5896606	    146.3941650	      1.0852257	      0.4718409	      0.4718409	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     13.5268202	      0.0000000	      1.4541116	      0.2083333	      0.0000000	     20.3999996	      2.0000000	    100.0000000	
3950.000000	      2.0000000	      2.0000000	      9.2943888	      9.2969999	      0.0456111	      0.0430000	     22.7999992	     22.7999992	    775.0782471	    232.2051544	      0.0766429	      0.5718282	      0.5718282	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     21.9418068	      0.0000000	      2.6254735	      0.3333333	      0.0000000	     22.7999992	      2.0000000	    100.0000000	
3952.000000	      2.0000000	      2.0000000	      9.2808609	      9.2849998	      0.0591389	      0.0550000	     25.8999996	     25.8999996	    770.9353027	    331.8136292	      1.0731342	      0.7139431	      0.7139431	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     20.0000000	     29.5832844	      0.0000000	      4.6330199	      0.4305556	      0.0000000	     25.8999996	      2.0000000	    100.0000000	
